Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_type
5e6179ad7b465a0af6751efa334565a4da14ca6d,2025-12-18 21:30:00,2025-12-18 21:45:00,585,3.0,17031081700.0,17031242300.0,$15,$4,$2.73,$21.73,41.892,-87.632,41.9,-87.68,21,0
7a0ccfd7ec79431370d87b160f48197e520d05f9,2025-04-26 17:45:00,2025-04-26 18:00:00,872,3.2,17031160601.0,17031221300.0,$7.5,$0,$5.34,$12.84,41.96,-87.702,41.921,-87.7,17,1
e9a89db25079bdf22733cba1f439277eb6ca63db,2025-06-23 04:30:00,2025-06-23 05:00:00,"1,853",13.4,17031081403.0,17031980100.0,$47.5,$3,$6.23,$56.73,41.891,-87.619,41.786,-87.751,4,0
65fc5893f91ea4b4acd64eac4d6602529b4a8647,2025-06-13 05:15:00,2025-06-13 05:30:00,958,6.9,17031841300.0,17031081201.0,$15,$0,$4.49,$19.49,41.844,-87.683,41.899,-87.626,5,0
32ab14976623d44291595cd04b6546f91da23ce8,2025-06-09 23:15:00,2025-06-09 23:30:00,567,3.3,17031071400.0,17031060900.0,$15,$0,$1.23,$16.23,41.922,-87.634,41.95,-87.644,23,0
c670d26ec95eb47534add0e49f4306bbd80815e0,2025-03-08 21:30:00,2025-03-08 21:45:00,"1,000",3.4,17031243300.0,17031310200.0,$12.5,$0,$1.23,$13.73,41.892,-87.665,41.856,-87.644,21,1
f730b17be69ac447e0d23136c9f44d496ae14b91,2025-04-09 12:00:00,2025-04-09 12:15:00,"1,113",4.5,17031160502.0,17031071000.0,$17.5,$0,$1.23,$18.73,41.956,-87.713,41.922,-87.656,12,0
90193a5929ceb6e4faa3a2c5d602cb19a774546b,2025-10-19 11:15:00,2025-10-19 11:30:00,"1,085",2.8,17031830900.0,17031832000.0,$22.5,$5,$7.84,$35.34,41.929,-87.685,41.946,-87.654,11,2
8541c2763914fb83090662c331fe05d42b32ddfc,2025-12-13 00:00:00,2025-12-13 00:00:00,506,1.3,17031081402.0,17031081800.0,$22.5,$0,$0,$22.5,41.892,-87.613,41.893,-87.638,0,1
9fbbccc6ed2e6e0ced873c96a020f30b7196728d,2025-10-04 14:00:00,2025-10-04 15:00:00,"2,836",14.8,17031841000.0,17031070300.0,$30,$7,$6.23,$43.23,41.849,-87.624,41.929,-87.651,14,1
f4922e1a493fe87b0161a94f0f13c5ee213f9f22,2025-05-15 18:30:00,2025-05-15 18:45:00,662,1.1,17031839000.0,17031081800.0,$7.5,$0,$2.73,$10.23,41.871,-87.631,41.893,-87.638,18,0
