Pickup Neighborhood,Dropoff Neighborhood,totalTransitTime_wavg,rideshareTime_wavg,tripCost_wavg,transitPenalty_wavg,distance_wavg,Count,transitPenaltyColor
Auburn Gresham,Mckinley Park,46.311904761904756,21.9,19.979999999999997,2.136332899760506,6.8,14.0,yellow
Auburn Gresham,Montclare,114.73333333333333,50.1,38.73,2.290086493679308,24.7,1.0,yellow
Auburn Gresham,Morgan Park,46.75833333333334,14.623958333333334,19.7909375,3.3686215048165997,4.76875,32.0,red
Auburn Gresham,Museum Campus,64.00885416666667,23.555729166666666,24.864687500000006,2.7725928059089524,9.600000000000001,32.0,red
Auburn Gresham,Near South Side,62.516666666666666,20.679166666666667,21.439999999999998,3.1725727948519564,9.75,4.0,red
Auburn Gresham,New City,45.31000000000002,15.053333333333333,19.077,3.053436115761293,4.71,10.0,red
Auburn Gresham,North Center,92.8,79.21666666666667,69.26,1.1714706501157164,18.1,1.0,green
Auburn Gresham,O'Hare,117.47499999999998,72.08125,80.26750000000001,1.667370923089707,30.362499999999997,8.0,green
Auburn Gresham,Oakland,68.91666666666667,20.8,18.87,3.3133012820512824,8.8,2.0,red
Auburn Gresham,Old Town,77.0,40.7,22.53,1.8918918918918917,20.0,1.0,green
Auburn Gresham,Pullman,59.67666666666667,18.48923076923077,19.510153846153845,3.256386753829659,6.507692307692308,65.0,red
